id_number,channel,group_name,prov,city,comp_rate,quiz
qrtsgarg,Dealer-retail,DEALON04,Ontario,,0.545,82.01
rabib,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.916,94.27
rattrey,Corp-retail,CORPON03-ON Central,Ontario,Richmond Hill,0.75,91.78
rbahri,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.98,92.33
rbarone,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,1,87.93
rbeal,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.875,95.04
rbhatti,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.913,92.82
rbowles,Care,Windsor,,,1,98.46
rbut,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.96,95.11
rbuzreba,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.75,88.51
rcerrato,Care,Windsor,,,1,100
rclark,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.904,76.79
rdavis,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.977,83.26
rfinucan,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.962,94.22
rgalvez,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.947,94.26
rghoshal,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.92,93.98
rgokey,Corp-retail,CORPON03-ON Central,Ontario,North York,0.5,80
rhagerman,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.842,91.45
rhagerman2,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.818,93.59
RHaggith,Care,Windsor,,,0.857,90.58
rhasan,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.333,80
rjajeka,Care,Windsor,,,1,94.03
rjiang,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.714,91.07
rkapongo,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,1,89.3
rkaur,Corp-retail,CORPON04-ON Southeast,Ontario,Brampton,0.944,80.52
rkuntam,Care,Windsor,,,1,98.61
rlin,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.971,86.67
rlozano,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.988,90.68
rmaboreke,Corp-retail,CORPON03-ON Central,Ontario,Barrie,0.96,86.2
rmaghnieh,Care,Windsor,,,0.5,77.03
rmalik,Corp-retail,CORPON03-ON Central,Ontario,Toronto,1,100
rmantha,Care,Windsor,,,0.923,88.48
rmcmillan,Dealer-retail,DEALON04,Ontario,,0.741,89.85
rmeta,Care,Windsor,,,0.833,84.82
rmwanagee,Dealer-retail,DEALON04,Ontario,,0.917,93.14
rnguyen,Corp-retail,CORPON03-ON Central,Ontario,Toronto,0.867,91.98
rpare,Care,Windsor,,,1,92.78
rprowse,Corp-retail,CORPON05-ON Southwest,Ontario,Hamilton,0.909,95.47
rquinto,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.75,93.81
rrcaduggal,Dealer-retail,DEALON05,Ontario,,1,93.3
rrcakaur1,Dealer-retail,DEALON05,Ontario,,0.932,91.1
rrcetwo,Dealer-retail,DEALON05,Ontario,,0.879,86.03
rrchdhamija,Dealer-retail,DEALON05,Ontario,,0.911,85.05
rrchkaur,Dealer-retail,DEALON05,Ontario,,0.913,91.63
rrcjsehgal,Dealer-retail,DEALON05,Ontario,,0.857,91.99
rrcmsingh,Dealer-retail,DEALON05,Ontario,,0.92,90.9
rrcnkaur,Dealer-retail,DEALON05,Ontario,,0.905,86.59
rrcnrohra,Dealer-retail,DEALON05,Ontario,,0.6,
rrcnrohra1,Dealer-retail,DEALON05,Ontario,,0.909,85.99
rrcrkhara,Dealer-retail,DEALON05,Ontario,,0.86,85.19
rrcrsharma,Dealer-retail,DEALON05,Ontario,,0.924,92.93
rrcvgupta,Dealer-retail,DEALON05,Ontario,,0.899,82.52
rroces,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.5,100
RSayyah,Care,Windsor,,,0,
rscheer,Care,Windsor,,,0.769,79.09
rsdrathod,Dealer-retail,DEALCA01,Alberta,,0.778,84.66
rsiddiquie,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.824,96.22
rsnbanwait,Dealer-retail,DEALCA01,Alberta,,0.81,86.19
rsombero,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.833,93.06
rsrsandhu1,Dealer-retail,DEALCA01,Alberta,,0.8,78.54
rstewart,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.987,94.41
rszeto,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.813,93.85
rtesfuzeru,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.957,85.14
rtiwary,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.815,86.94
rtong,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.786,95.77
rtran,Corp-retail,CORPON03-ON Central,Ontario,Richmond Hill,0.87,96.74
rturner2,Care,Windsor,,,1,90.47
rwong,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.885,89.93
ryoules,Corp-retail,CORPON03-ON Central,Ontario,Markham,0.889,93.98
sabbas,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.857,89.92
sahmad,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.889,94.35
sahmad2,Corp-retail,CORPON04-ON Southeast,Ontario,Brampton,0.923,97.44
sahmed4,Corp-retail,CORPON03-ON Central,Ontario,Vaughan,0.929,95.71
salam,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.909,92.43
sali4,Corp-retail,CORPON04-ON Southeast,Ontario,Brampton,0.892,88.45
sali5,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.926,86.64
saliahubkazmi,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.706,87.43
salsalman,Care,Windsor,,,0.9,90.87
salshkbian,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.867,83.2
saly,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.923,93.59
samohammadi,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.857,85.61
sanderson,Corp-retail,CORPON03-ON Central,Ontario,Woodbridge,0.813,95.39
sbabiarz,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.875,90.37
sboyce,Care,Windsor,,,0.778,87.69
sbrusich,Care,Windsor,,,0.882,88.46
sbrydges,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.909,94.44
sbull,Care,Windsor,,,1,97.95
sburke,Corp-retail,CORPON05-ON Southwest,Ontario,Waterloo,0.905,88.59
schan,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.85,93.51
scheng,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.921,90.16
schopra,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.964,85.57
scooper,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.917,84.56
sdeabreu,Corp-retail,CORPON02-ON East,Ontario,Pickering,0.937,94.22
sdey,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.857,90.05
sdhaliwal,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.667,95
sdhesi-hussein,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.875,95.08
sdowns,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.894,91.23
sehmke,Corp-retail,CORPON02-ON East,Ontario,Oshawa,0.933,98.46
sghorai,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.813,90.08
shamad,Care,Windsor,,,0.917,92.74
shamza,Corp-retail,CORPON05-ON Southwest,Ontario,Burlington,1,96.84
sho,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.667,81.72
sholderney,Corp-retail,CORPON04-ON Southeast,Ontario,St. Catharines,0.333,100
shoque,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.786,95.93
shosseinpour,Corp-retail,CORPON03-ON Central,Ontario,North York,0.917,91.79
shoussami,Care,Windsor,,,1,98.78
shumchack,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.789,76.09
shuoseh,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.963,88.09
shussain,Corp-retail,CORPON02-ON East,Ontario,Toronto,1,95.72
siatonna,Care,Windsor,,,1,92.82
siyadurai,Corp-retail,CORPON02-ON East,Ontario,Pickering,0.75,93.59
sjkhan,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.813,88.42
skamalanatha,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.953,85.95
skathpalia,Care,Windsor,,,1,100
skhatri,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.946,88.86
slafontaine,Corp-retail,CORPON01-Ottawa,Ontario,Ottawa,0.967,98.89
slau,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.857,98.22
slavin,Care,Windsor,,,1,98.33
sle,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.846,97.86
slee,Corp-retail,CORPON04-ON Southeast,Ontario,Oakville,0.966,93.33
slegrand,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.625,80.29
slesperance2,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.75,100
smacdonald,Care,Windsor,,,1,87.12
smagee,Dealer-retail,DEALON05,Ontario,,0.435,88.68
smaisonneuve,Care,Windsor,,,0.941,94.87
smalhi,Corp-retail,CORPON04-ON Southeast,Ontario,Toronto,0.922,86.53
smarwaha,Corp-retail,CORPVA01-Vancouver East,BC,Vancouver,0.914,88.62
smccabe,Corp-retail,CORPON05-ON Southwest,Ontario,Kitchener,0.983,84.19
smctear,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.992,95.39
smisra,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.857,97.91
smohamed,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.933,96.46
smomtahan,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.8,89.63
snafliang,Dealer-retail,DEALCA01,Alberta,,0.933,83.35
snagfan,Dealer-retail,DEALCA01,Alberta,,0.914,89.44
snallin1,Dealer-retail,DEALCA01,Alberta,,1,93.3
snampang,Dealer-retail,DEALCA01,Alberta,,0.932,89.91
snurmudei,Corp-retail,CORPED01-Edmonton,Alberta,Edmonton,0.8,84.68
sokrytzki,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.95,90.03
spiansay,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.889,87.4
spowell,Corp-retail,CORPON05-ON Southwest,Ontario,Waterloo,0.974,91.25
srahimi,Corp-retail,CORPON02-ON East,Ontario,Pickering,0.895,88.52
srestivo,Corp-retail,CORPON05-ON Southwest,Ontario,Burlington,0.968,85.03
sryan,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.917,85.93
ssaadi,Corp-retail,CORPON05-ON Southwest,Ontario,Windsor,0.857,88.94
sscabajaj,Dealer-retail,DEALED02,Alberta,,0.333,53.78
sscclalit,Dealer-retail,DEALED02,Alberta,,1,100
sscgsingh,Dealer-retail,DEALED02,Alberta,,1,90.83
sscgsingh1,Dealer-retail,DEALED02,Alberta,,0.927,89.82
sscjkaur,Dealer-retail,DEALED02,Alberta,,1,94.45
sscott,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.692,88.02
sscpchawla,Dealer-retail,DEALED02,Alberta,,1,90
sscrlu,Dealer-retail,DEALED02,Alberta,,1,83.88
sscss,Dealer-retail,DEALED02,Alberta,,0.5,85
sscss1,Dealer-retail,DEALED02,Alberta,,0.786,91.4
ssctkanhai,Dealer-retail,DEALED02,Alberta,,0.75,63.33
sscwdemo,Dealer-retail,DEALED02,Alberta,,0.842,88.34
ssharma2,Corp-retail,CORPON04-ON Southeast,Ontario,Mississauga,0.714,88.39
sshimens,Corp-retail,CORPON05-ON Southwest,Ontario,Guelph,0,80
ssingh2,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.9,90.22
ssplint,Care,Windsor,,,1,97.69
sstrath,Corp-retail,CORPVA02-Vancouver West,BC,Vancouver,0.931,84.39
ssumra,Corp-retail,CORPCA01-Calgary,Alberta,Calgary,0.949,90.13
ssuthakaran,Corp-retail,CORPON02-ON East,Ontario,Toronto,0.909,98.33
stesoro,Corp-retail,CORPON03-ON Central,Ontario,Thornhill,1,91.46
stkdkhan,Dealer-retail,DEALON03,Ontario,,0.833,92.22
stkdkhan1,Dealer-retail,DEALON03,Ontario,,0.9,95.33
stkiprimorac,Dealer-retail,DEALON03,Ontario,,0.889,92.17
stkmtariq,Dealer-retail,DEALON03,Ontario,,0.955,97.78
stkoshahid,Dealer-retail,DEALON03,Ontario,,0.875,93.33
stksmalhotra,Dealer-retail,DEALON03,Ontario,,0.851,89.76
stktmahmud,Dealer-retail,DEALON03,Ontario,,0.778,94.81
stktmahmud1,Dealer-retail,DEALON03,Ontario,,0.875,98.89
stkwkhan,Dealer-retail,DEALON03,Ontario,,0.9,91.99
sturner,Care,Windsor,,,0.941,94.1
st_aabu,Care,Startek,,,1,98.12
st_aalbano,Care,Startek,,,1,98.06
st_aamador,Care,Startek,,,0.769,86.09
st_abadeo,Care,Startek,,,0.867,89.23
st_abau,Care,Startek,,,0.862,94.92
st_abeltran,Care,Startek,,,0.947,95.29
st_abinwag,Care,Startek,,,1,100
st_abriones,Care,Startek,,,0.923,94.77
st_acruz,Care,Startek,,,1,98.15
st_adeleon,Care,Startek,,,1,99.82
st_adiaz,Care,Startek,,,0.704,95.64
st_aermita,Care,Startek,,,0.923,99.14
st_aferrer,Care,Startek,,,0.923,94.55
st_aflores2,Care,Startek,,,0.821,89.1
st_agutierrez,Care,Startek,,,0.833,91.55
st_aisidro,Care,Startek,,,0.5,62.2
st_alagman,Care,Startek,,,0.864,84.44
st_amendoza,Care,Startek,,,0.789,80.58
st_amuit,Care,Startek,,,1,98.18
st_apadilla,Care,Startek,,,0.957,94.08
st_aponciano,Care,Startek,,,1,
st_apulido,Care,Startek,,,1,98.48
st_arabi,Care,Startek,,,0.882,92.73
st_areyes,Care,Startek,,,0.882,93.93
st_asojon,Care,Startek,,,1,94.3
st_asuarez,Care,Startek,,,1,
st_atabuyan,Care,Startek,,,0.833,85.33
st_avillanueva,Care,Startek,,,1,99.44
st_bcabana,Care,Startek,,,0.929,97.78
st_blasquite,Care,Startek,,,0.889,83.85
st_bmartinez,Care,Startek,,,0.944,90.25
st_btongco,Care,Startek,,,0.917,93.66
st_btupas,Care,Startek,,,1,97.14
st_calagad,Care,Startek,,,0.88,96.42
st_carnejo,Care,Startek,,,1,96.06
st_cbalahadia,Care,Startek,,,1,100
st_cbonilla,Care,Startek,,,1,98.18
st_cbustos,Care,Startek,,,1,100
st_ccalingasan,Care,Startek,,,0.929,99.17
st_ccallubad,Care,Startek,,,0.857,95.3
st_ccarvajal,Care,Startek,,,0.556,80
st_cdolindo,Care,Startek,,,1,98.33
st_cdollente,Care,Startek,,,0.6,60
st_cdondoyano,Care,Startek,,,1,92
st_cestranero,Care,Startek,,,1,93.33
st_cgorospe,Care,Startek,,,0.8,90.67
st_cgrengia,Care,Startek,,,1,95
st_chbustos,Care,Startek,,,0.846,94.88
st_clansang,Care,Startek,,,1,98.33
st_clugtu,Care,Startek,,,1,96
st_cmetilla,Care,Startek,,,1,97.07
st_cmonteclaro,Care,Startek,,,0.929,96.67
st_cpalma,Care,Startek,,,0.895,89.66
st_cpantia,Care,Startek,,,0.929,96.67
st_csalcedo,Care,Startek,,,1,98.05
st_csalonga,Care,Startek,,,0.714,83
st_csalvador,Care,Startek,,,1,97.33
st_csarmiento,Care,Startek,,,1,100
st_ctinguban,Care,Startek,,,0.929,93.43
st_cvalencia,Care,Startek,,,0.929,92.5
st_cvasquez,Care,Startek,,,0.893,93.52
st_dabautista,Care,Startek,,,0.857,92.35
st_daggabao,Care,Startek,,,0.875,96.5
st_dapelit,Care,Startek,,,0.941,96.67
st_dbalois,Care,Startek,,,0.938,93.71
st_dbetonio,Care,Startek,,,0.923,97.14
st_dcachuela,Care,Startek,,,0.917,100
st_dcotino,Care,Startek,,,0.941,97.78
st_ddioquino,Care,Startek,,,1,93.81
st_delrosario,Care,Startek,,,1,94.44
st_dfedelino,Care,Startek,,,0.824,85.64
st_dguanzon,Care,Startek,,,0.75,83.49
st_dlabatete,Care,Startek,,,1,100
st_dquillan,Care,Startek,,,0.8,86.93
st_drato,Care,Startek,,,0.864,96.9
st_dyu,Care,Startek,,,0.87,93.22
st_eabella,Care,Startek,,,1,100
st_ealden,Care,Startek,,,0.769,97.77
st_ealpuerto,Care,Startek,,,0.833,97.03
st_eaniban,Care,Startek,,,0.889,97.67
st_ecabiling,Care,Startek,,,1,98.57
st_ecasajeros,Care,Startek,,,1,94.29
st_edelcarmen,Care,Startek,,,1,85.48
st_eduates,Care,Startek,,,0.933,97.78
st_eescuedo,Care,Startek,,,0.75,86.41
st_elim,Care,Startek,,,1,100
st_emariano,Care,Startek,,,1,100
st_enuque,Care,Startek,,,0.765,85.24
st_epilotos,Care,Startek,,,1,97.5
st_epoblete,Care,Startek,,,0.867,91.57
st_esantos,Care,Startek,,,1,94.17
st_eserrano,Care,Startek,,,0.846,90.63
st_esitay,Care,Startek,,,0.938,89.63
st_fbakil,Care,Startek,,,0.893,97.29
st_fchavez,Care,Startek,,,1,91.43
st_fdelrosario,Care,Startek,,,1,96.87
st_fenaje,Care,Startek,,,1,96.88
st_fjudavar,Care,Startek,,,1,96.91
st_flee,Care,Startek,,,0.947,91.86
st_fmascarinas,Care,Startek,,,1,94.04
st_galba,Care,Startek,,,1,98.79
st_gbacelonia,Care,Startek,,,1,94.44
st_gbalaoro,Care,Startek,,,0.95,96
st_gcabulay,Care,Startek,,,0.789,85.17
st_gcalderon,Care,Startek,,,1,95.74
st_gga,Care,Startek,,,0.938,100
st_gisidoro,Care,Startek,,,0.833,97.14
st_gjavonillo,Care,Startek,,,1,95
st_glecaros,Care,Startek,,,1,100
st_gmarasigan,Care,Startek,,,1,96.32
st_gstodomingo,Care,Startek,,,0.889,91.43
st_gtenorio,Care,Startek,,,1,98.18
st_gventura,Care,Startek,,,0.87,89.49
st_hcruz,Care,Startek,,,0.842,88.01
st_hfajardo,Care,Startek,,,0.931,99.06
st_hmundas,Care,Startek,,,1,95
st_hwalker,Care,Startek,,,1,
st_imalubay,Care,Startek,,,0.929,95.56
st_jabalos,Care,Startek,,,1,99.82
st_jadiaz,Care,Startek,,,0.852,96.4
st_jaevangelista,Care,Startek,,,0.857,95.03
st_jafricano,Care,Startek,,,0.815,94.88
st_jagam,Care,Startek,,,0.8,88.57
st_jagrito,Care,Startek,,,0.833,93.25
st_jaguila,Care,Startek,,,1,95.75
st_jalcanar,Care,Startek,,,1,95.65
st_jamerica,Care,Startek,,,1,97.78
st_jarcos,Care,Startek,,,1,100
st_jasanchez,Care,Startek,,,1,98.29
st_jbacsal,Care,Startek,,,0.947,95.25
st_jbaluyut,Care,Startek,,,1,100
st_jbanico,Care,Startek,,,1,98
st_jbarcenas,Care,Startek,,,1,99.17
st_jbiclar,Care,Startek,,,0.767,89.4
st_jbien,Care,Startek,,,0.941,91.11
st_jbillote,Care,Startek,,,0.933,90.07
st_jcardenas,Care,Startek,,,1,100
st_jculdora,Care,Startek,,,0.95,95.39
st_jdeguzman,Care,Startek,,,0.88,97.46
st_jdeita,Care,Startek,,,1,98.98
st_jdelacerna,Care,Startek,,,0.893,91.98
st_jdeleon,Care,Startek,,,0.889,93.33
st_jdeocampo,Care,Startek,,,0.786,90.98
st_jdones,Care,Startek,,,0.75,90.98
st_jelopez,Care,Startek,,,1,97.03
st_jeribal,Care,Startek,,,0.6,79.53
st_jestremos,Care,Startek,,,0.8,100
st_jflores,Care,Startek,,,0.926,96.11
st_jgacus,Care,Startek,,,0.786,84.9
st_jgalido,Care,Startek,,,1,100
st_jgalvez,Care,Startek,,,0.882,82.78
st_jgapas,Care,Startek,,,1,89.45
st_jhipolito,Care,Startek,,,0.857,94.48
st_jhiyao,Care,Startek,,,0.81,91.69
st_jjamora,Care,Startek,,,0.905,89.48
st_jjianoran,Care,Startek,,,0.952,94.44
st_jjose2,Care,Startek,,,1,99.17
st_jlasala,Care,Startek,,,0.929,95
st_jmacabangkit,Care,Startek,,,1,93.05
st_jmacalanda,Care,Startek,,,1,97.78
st_jmacalla,Care,Startek,,,0.875,96.96
st_jmanalaysay,Care,Startek,,,1,100
st_jmanuel,Care,Startek,,,0.923,94.55
st_jmunda,Care,Startek,,,1,99.6
st_jnparreno,Care,Startek,,,0.824,87.35
st_jnulla,Care,Startek,,,1,97.5
st_jolazo,Care,Startek,,,0.833,92.11
st_jombol,Care,Startek,,,0.76,90.05
st_jpablo,Care,Startek,,,0.944,94.14
st_jpallingayan,Care,Startek,,,0.778,88.45
st_jparreno,Care,Startek,,,1,96.67
st_jremo,Care,Startek,,,1,98.22
st_jreyes3,Care,Startek,,,0.818,96.22
st_jrojas,Care,Startek,,,0.933,90
st_jronquillo,Care,Startek,,,1,98.85
st_jrvillanueva,Care,Startek,,,0.929,95.28
st_jsalvadico,Care,Startek,,,0.786,84.65
st_jsamera,Care,Startek,,,1,98.33
st_jsantos2,Care,Startek,,,0.857,97.61
st_jsellote,Care,Startek,,,0.929,91.67
st_jtanglao,Care,Startek,,,0.882,98.31
st_jteberio,Care,Startek,,,1,98.33
st_jtorres,Care,Startek,,,1,97.88
st_jvillagen,Care,Startek,,,0.714,80.18
st_jyalong,Care,Startek,,,1,96.39
st_kalsonado,Care,Startek,,,0.643,86.79
st_kanonuevo,Care,Startek,,,1,94.29
st_kbermido,Care,Startek,,,0.944,97.82
st_kescario,Care,Startek,,,0.85,92.98
st_kfiguracion,Care,Startek,,,1,98.33
st_kgonzales,Care,Startek,,,0.909,95
st_klobo,Care,Startek,,,0.885,95.74
st_klreyes,Care,Startek,,,1,80
st_ksapanhila,Care,Startek,,,0.762,87.35
st_ksaur,Care,Startek,,,0.913,92.71
st_ksingian,Care,Startek,,,0.926,98.67
st_lalfonso,Care,Startek,,,1,98.33
st_lavila,Care,Startek,,,0.438,89.03
st_lbadion,Care,Startek,,,0.8,80
st_lcamacho,Care,Startek,,,0.909,93.18
st_lchavez,Care,Startek,,,0.926,97.81
st_ldelacruz,Care,Startek,,,0.923,87.9
st_ldelmundo,Care,Startek,,,1,100
st_ldimacuha,Care,Startek,,,0.926,97.64
st_lllamera,Care,Startek,,,1,96.49
st_lpermito,Care,Startek,,,0.828,90.69
st_lsilva,Care,Startek,,,0.826,89.06
st_ltogonon,Care,Startek,,,1,98.33
st_lueda,Care,Startek,,,1,96.11
st_lvelarte,Care,Startek,,,0.882,87.24
st_madove,Care,Startek,,,0.882,93.33
st_mafrancisco,Care,Startek,,,1,95.55
st_malday,Care,Startek,,,1,98.33
st_mangeles,Care,Startek,,,0.75,84.63
st_marancillo,Care,Startek,,,1,99.17
st_marzadon,Care,Startek,,,1,97.78
st_maspa,Care,Startek,,,0.857,90.36
st_mballesteros,Care,Startek,,,1,94.66
st_mbataliran,Care,Startek,,,0.786,89.09
st_mboco,Care,Startek,,,1,98.48
st_mbrusola,Care,Startek,,,0.778,84.12
st_mcabacaba,Care,Startek,,,0.84,93.71
st_mcaguioa,Care,Startek,,,0.889,87.06
st_mcalubad,Care,Startek,,,0.864,96.3
st_mcalugay,Care,Startek,,,0.957,89.47
st_mcanas,Care,Startek,,,0.938,96.3
st_mcha,Care,Startek,,,1,100
st_mclemente,Care,Startek,,,1,98.33
st_mcuevas,Care,Startek,,,0.875,97.93
st_mcustodio,Care,Startek,,,0.897,96.16
st_mdelacruz,Care,Startek,,,1,95.05
st_mdelosreyes,Care,Startek,,,1,93.35
st_mdimailig,Care,Startek,,,0.81,87.35
st_mdiones,Care,Startek,,,0.846,90.27
st_mduhaylungsod,Care,Startek,,,0.824,89.25
st_mdumanog,Care,Startek,,,1,100
st_melizaga,Care,Startek,,,1,97.44
st_menerio,Care,Startek,,,1,97.78
st_mfallorina,Care,Startek,,,0.852,90.48
st_mflores,Care,Startek,,,1,98.18
st_mformaran,Care,Startek,,,1,93.43
st_mfrancisco,Care,Startek,,,0.929,94.44
st_mhernandez,Care,Startek,,,0.733,77.56
st_milagan,Care,Startek,,,0.857,
st_mjdelrosario,Care,Startek,,,0.68,89.62
st_mlopez2,Care,Startek,,,0.818,100
st_mmaceda,Care,Startek,,,0.875,90.77
st_mmangubat,Care,Startek,,,0.9,84
st_mmangulabnan,Care,Startek,,,1,93.74
st_mmanikan,Care,Startek,,,0.9,100
st_mmartin,Care,Startek,,,0.947,96.19
st_mmondina,Care,Startek,,,1,100
st_mname,Care,Startek,,,0.9,92.5
st_mnicol,Care,Startek,,,1,100
st_mpabrea,Care,Startek,,,1,97.78
st_mpaculan,Care,Startek,,,0.87,95.4
st_mpancha,Care,Startek,,,0.941,95.83
st_mpanidor,Care,Startek,,,1,95.47
st_mpascua,Care,Startek,,,0.778,84.87
st_mperez,Care,Startek,,,1,97.5
st_mperez2,Care,Startek,,,0.8,80
st_mpescante,Care,Startek,,,1,
st_mpontipedra,Care,Startek,,,0.273,92.5
st_mquidato,Care,Startek,,,0.714,
st_mregulacion,Care,Startek,,,1,96.99
st_msilladora,Care,Startek,,,0.933,96.67
st_msongco,Care,Startek,,,0.96,94.84
st_mstarosa,Care,Startek,,,0.875,89.79
st_msurigao,Care,Startek,,,0.9,94.29
st_mtaguiam,Care,Startek,,,0.87,96.57
st_munajan,Care,Startek,,,0.933,94.83
st_mursaga,Care,Startek,,,1,98.75
st_mvasquez,Care,Startek,,,1,99.52
st_nbajar,Care,Startek,,,0.947,96.67
st_nbatangoso,Care,Startek,,,1,100
st_ncadorna,Care,Startek,,,1,97.23
st_ngaban,Care,Startek,,,1,96
st_njosef,Care,Startek,,,0.929,93.64
st_nlorenzo,Care,Startek,,,0.833,95
st_nmortera,Care,Startek,,,0.857,94.25
st_nrenegado,Care,Startek,,,0.929,96.67
st_oakip,Care,Startek,,,1,96.07
st_olopez,Care,Startek,,,1,97.78
st_padan,Care,Startek,,,0.909,97.2
st_pandillo,Care,Startek,,,0.929,92.97
st_pespileta,Care,Startek,,,0.808,89.7
st_peyas,Care,Startek,,,1,93.7
st_pgelera,Care,Startek,,,0.923,90.22
st_pmanjares,Care,Startek,,,1,98.18
st_pmatabuena,Care,Startek,,,0.957,90.77
st_pmojica,Care,Startek,,,1,94.25
st_probles,Care,Startek,,,0.867,90.58
st_rador,Care,Startek,,,0.824,93.68
st_rancheta,Care,Startek,,,1,80
st_rasinas,Care,Startek,,,0.923,88.33
st_rbataan,Care,Startek,,,1,93.33
st_rborbo,Care,Startek,,,0.933,95
st_rcacayan,Care,Startek,,,0.8,80
st_rcapuyan,Care,Startek,,,0.929,93.8
st_rcerci,Care,Startek,,,0.923,98.78
st_rcruz,Care,Startek,,,0.929,92.53
st_rcuvinar,Care,Startek,,,0.75,82.25
st_rdeleon,Care,Startek,,,0.88,86.03
st_rdeleon2,Care,Startek,,,0.938,97.86
st_rdelgado,Care,Startek,,,1,97.77
st_rdrio,Care,Startek,,,0.929,87.78
st_rfallan,Care,Startek,,,0.88,95.37
st_rfamor,Care,Startek,,,1,97.78
st_rferrer,Care,Startek,,,1,100
st_rfrancisco,Care,Startek,,,0.867,96.31
st_rguiling,Care,Startek,,,0.824,91.25
st_rkabigting,Care,Startek,,,0.8,76.52
st_rlamprea,Care,Startek,,,0.929,95
st_rlee,Care,Startek,,,1,90
st_rlingan,Care,Startek,,,0.938,91.48
st_rmagpayo,Care,Startek,,,1,96.94
st_rmalapitan,Care,Startek,,,1,100
st_rmarana,Care,Startek,,,1,100
st_rmonville,Care,Startek,,,0.722,81.2
st_rpascua,Care,Startek,,,0.88,94.41
st_rpelovello,Care,Startek,,,1,94.15
